merged,name,lat,lon,Address,Municipality,Sale price
"310-12 Delaware St, Syracuse, New York","Delaware Street, Skunk City, City of Syracuse, Onondaga County, New York, 13204, United States",43.0393976,-76.1733275,310-12 Delaware St,Syracuse,285
"101 Wood Ave, Syracuse, New York","101, Wood Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.0258685,-76.146205,101 Wood Ave,Syracuse,66
"317-19 Delaware St, Syracuse, New York","Delaware Street, Skunk City, City of Syracuse, Onondaga County, New York, 13204, United States",43.0393976,-76.1733275,317-19 Delaware St,Syracuse,58
"250 Leon St, Syracuse, New York","250, Leon Street, University Hill, City of Syracuse, Onondaga County, New York, 13205, United States",43.0328872,-76.1435217,250 Leon St,Syracuse,48
"205 Fifth St, Fulton, New York","205, Fifth Street, Village of Northville, Town of Northampton, Fulton County, New York, 12134, United States",43.22616465970204,-74.178731536114,205 Fifth St,Fulton,1000
"538 Fire Lane 14, Springport, New York","538, Fire Lane 14, Cayuga Junction, Town of Springport, Cayuga County, New York, 13034, United States",42.87299,-76.704095,538 Fire Lane 14,Springport,20000
" Paradise Rd, Palermo, New York","Paradise Road, Town of Palermo, Oswego County, New York, 13114, United States",43.401866,-76.231204, Paradise Rd,Palermo,30000
" Paradise Rd, Palermo, New York","Paradise Road, Town of Palermo, Oswego County, New York, 13114, United States",43.401866,-76.231204, Paradise Rd,Palermo,22500
"10185 Jordan Rd, Cato (town), New York","10185, Jordan Road, Town of Cato, Cayuga County, New York, 13080, United States",43.1105565,-76.49523022282608,10185 Jordan Rd,Cato (town),10
"3849 Hallston Dr, Clay, New York","Hallston Drive, Town of Clay, Onondaga County, New York, 13090, United States",43.1924639,-76.2455465,3849 Hallston Dr,Clay,50000
"102 Second St, Fulton, New York","102, Second Street, Ward 4, City of Gloversville, Fulton County, New York, 12078, United States",43.04866957142857,-74.35760361224489,102 Second St,Fulton,3800
" West Bay Rd, Sterling, New York","West Bay Road, Village of Fair Haven, Town of Sterling, Cayuga County, New York, 13064, United States",43.344186,-76.713953, West Bay Rd,Sterling,40000
"7023 River Road, Aurelius, New York","7023, River Road, Town of Montezuma, Town of Aurelius, Cayuga County, New York, 13034, United States",42.9580767,-76.7369703,7023 River Road,Aurelius,50200
"1373 Berry Rd, Fabius (town), New York","1373, Berry Road, Apulia, Town of Fabius, Onondaga County, New York, 13084, United States",42.8389156,-76.060479,1373 Berry Rd,Fabius (town),86000
" Kasson Road, Onondaga, New York","Kasson Road, Fairmount, Town of Camillus, Marcellus, Onondaga County, New York, 13031, United States",43.0401414,-76.2744372, Kasson Road,Onondaga,25000
" Jordan Rd, Cato (town), New York","Jordan Road, Village of Meridian, Town of Cato, Cayuga County, New York, 13033, United States",43.159009,-76.517838, Jordan Rd,Cato (town),3659
" Beech Rd, Sennett, New York","Beech Road, Town of Sennett, Cayuga County, New York, United States",42.930134,-76.495078, Beech Rd,Sennett,48000
"67 Jacobson Dr, Parish (town), New York","67, Jacobson Drive, Town of Parish, Albion, Oswego County, New York, 13131, United States",43.453887885829936,-76.11694717450973,67 Jacobson Dr,Parish (town),55000
" Lake Forest, Minoa, New York","Lake Forest Drive, Village of Minoa, Town of Manlius, Onondaga County, New York, 13116, United States",43.0692438,-76.0151675, Lake Forest,Minoa,509040
"4253 Oran Delphi Rd, Pompey, New York","4253, Oran Delphi Road, Oran, Town of Manlius, Onondaga County, New York, 13104, United States",42.9771504,-75.9345222,4253 Oran Delphi Rd,Pompey,440000
" West Lake Road, Cazenovia (town), New York","West Lake Road, Town of Cazenovia, Madison County, New York, 13035, United States",42.962779,-75.884468, West Lake Road,Cazenovia (town),55000
"4474 Weller Hall Pl, Clay, New York","Weller Hall Place, Town of Clay, Onondaga County, New York, 13041, United States",43.1784843,-76.1844928,4474 Weller Hall Pl,Clay,474300
"3352 Hickory Knoll Ln, Lysander, New York","3352, Hickory Knoll Lane, Radisson, Town of Lysander, Onondaga County, New York, 13027, United States",43.19646454548254,-76.28676805201304,3352 Hickory Knoll Ln,Lysander,537000
"3352 Hickory Knoll Ln, Lysander, New York","3352, Hickory Knoll Lane, Radisson, Town of Lysander, Onondaga County, New York, 13027, United States",43.19646454548254,-76.28676805201304,3352 Hickory Knoll Ln,Lysander,40000
" Otisco Valley Road, Spafford, New York","Otisco Valley Road, Heath Grove, Rice Grove, Amber, Town of Otisco, Onondaga County, New York, 13110, United States",42.831133,-76.233909, Otisco Valley Road,Spafford,5580
"142 Dunning Ave, Auburn, New York","142, Dunning Avenue, City of Auburn, Scipio, Cayuga County, New York, 13021, United States",42.9183745,-76.58339457102565,142 Dunning Ave,Auburn,16000
"1761 Center Rd, Scipio, New York","1761, Center Road, Scipio Center, Town of Scipio, Cayuga County, New York, 13147, United States",42.7825135,-76.6233915,1761 Center Rd,Scipio,133000
"3762 Kennedy Rd, Scipio, New York","3762, Kennedy Road, Town of Moravia, Town of Scipio, Cayuga County, New York, 13118, United States",42.7676602,-76.4921638,3762 Kennedy Rd,Scipio,84000
"2910 Slate Hill Rd, Marcellus (town), New York","2910, Slate Hill Road, Town of Marcellus, Onondaga County, New York, 13110, United States",42.9135411,-76.3018602,2910 Slate Hill Rd,Marcellus (town),84000
" Wells Ave, North Syracuse, New York","Wells Avenue East, Village of North Syracuse, Town of Clay, Onondaga County, New York, 13212, United States",43.131936,-76.128925, Wells Ave,North Syracuse,2562
" Wells Ave, North Syracuse, New York","Wells Avenue East, Village of North Syracuse, Town of Clay, Onondaga County, New York, 13212, United States",43.131936,-76.128925, Wells Ave,North Syracuse,4282
" Tully Farms Rd, LaFayette, New York","Tully Farms Road, Town of LaFayette, Onondaga County, New York, 13084, United States",42.898868,-76.156824, Tully Farms Rd,LaFayette,150000
"5854 Powder Horn Ln, Onondaga, New York","Powder Horn Lane, Town of Onondaga, Onondaga County, New York, 13078, United States",42.9850579,-76.1161856,5854 Powder Horn Ln,Onondaga,569000
"10182 Jordan Rd, Cato (town), New York","10182, Jordan Road, Town of Cato, Cayuga County, New York, 13080, United States",43.109911,-76.494605,10182 Jordan Rd,Cato (town),25000
"3879 Bonstead Rd, Clay, New York","3879, Bonstead Road, Three Rivers, Town of Clay, Onondaga County, New York, 13041, United States",43.211835,-76.2438393,3879 Bonstead Rd,Clay,50000
"7764 Longbow Way, Lysander, New York","7764, Longbow Way, Town of Lysander, Onondaga County, New York, 13027, United States",43.14397758295173,-76.25906178184822,7764 Longbow Way,Lysander,130000
" Whiting Rd, Van Buren, New York","Whiting Road, Town of Elbridge, Onondaga County, New York, 13112, United States",43.076976,-76.389958, Whiting Rd,Van Buren,993
" Whiting Rd, Van Buren, New York","Whiting Road, Town of Elbridge, Onondaga County, New York, 13112, United States",43.076976,-76.389958, Whiting Rd,Van Buren,650
"92 Phillips Rd, Granby, New York","92, Phillips Road, Town of Granby, Oswego County, New York, 13126, United States",43.3671115,-76.5028235,92 Phillips Rd,Granby,35000
"92 Phillips Rd, Granby, New York","92, Phillips Road, Town of Granby, Oswego County, New York, 13126, United States",43.3671115,-76.5028235,92 Phillips Rd,Granby,35000
"17 S Jefferson St, Mexico (village), New York","17, South Jefferson Street, Village of Mexico, Town of Mexico, Oswego County, New York, 13114, United States",43.45597050000001,-76.22990674349305,17 S Jefferson St,Mexico (village),500
" West Lake Rd, Fleming, New York","West Lake Road, Melrose Park, Town of Fleming, Aurelius, Cayuga County, New York, 13021, United States",42.898882,-76.548924, West Lake Rd,Fleming,180000
" Jane Ln, Cicero, New York","Jane Lane, Town of Cicero, Onondaga County, New York, 13039, United States",43.182154,-76.0816965, Jane Ln,Cicero,8221
" Jane Ln, Cicero, New York","Jane Lane, Town of Cicero, Onondaga County, New York, 13039, United States",43.182154,-76.0816965, Jane Ln,Cicero,20
" Brewerton Rd, Cicero, New York","Brewerton Road, Brewerton, Town of Cicero, Onondaga County, New York, 13039, United States",43.2332473,-76.139732, Brewerton Rd,Cicero,1989
" Brewerton Rd, Cicero, New York","Brewerton Road, Brewerton, Town of Cicero, Onondaga County, New York, 13039, United States",43.2332473,-76.139732, Brewerton Rd,Cicero,110
" Tuttle Rd, Cicero, New York","Tuttle Road, Town of Cicero, Onondaga County, New York, 13030, United States",43.1797982,-75.9916363, Tuttle Rd,Cicero,1259
" Tuttle Rd, Cicero, New York","Tuttle Road, Town of Cicero, Onondaga County, New York, 13030, United States",43.1797982,-75.9916363, Tuttle Rd,Cicero,100
"3864 Hallston Dr, Clay, New York","3864, Hallston Drive, Town of Clay, Onondaga County, New York, 13090, United States",43.19185779591837,-76.24351095918367,3864 Hallston Dr,Clay,45000
" State Route 31 Rr, Elbridge (town), New York","State Route 31, Village of Jordan, Town of Elbridge, Onondaga County, New York, 13080, United States",43.067474,-76.480715, State Route 31 Rr,Elbridge (town),4642
" State Route 31 Rr, Elbridge (town), New York","State Route 31, Village of Jordan, Town of Elbridge, Onondaga County, New York, 13080, United States",43.067474,-76.480715, State Route 31 Rr,Elbridge (town),275
" State Route 31 Rr, Elbridge (town), New York","State Route 31, Village of Jordan, Town of Elbridge, Onondaga County, New York, 13080, United States",43.067474,-76.480715, State Route 31 Rr,Elbridge (town),400
" State Route 31 Rr, Elbridge (town), New York","State Route 31, Village of Jordan, Town of Elbridge, Onondaga County, New York, 13080, United States",43.067474,-76.480715, State Route 31 Rr,Elbridge (town),2847
" Richmond Rd, Manlius (town), New York","Richmond Road East, Oot Park, Town of Manlius, Onondaga County, New York, 13057, United States",43.065947,-76.020311, Richmond Rd,Manlius (town),5744
" Richmond Rd, Manlius (town), New York","Richmond Road East, Oot Park, Town of Manlius, Onondaga County, New York, 13057, United States",43.065947,-76.020311, Richmond Rd,Manlius (town),1497
" Kirkville Rd, Manlius (town), New York","Kirkville Road, Town of Manlius, Onondaga County, New York, 13082, United States",43.0791507,-76.0285413, Kirkville Rd,Manlius (town),2700
" Kirkville Rd, Manlius (town), New York","Kirkville Road, Town of Manlius, Onondaga County, New York, 13082, United States",43.0791507,-76.0285413, Kirkville Rd,Manlius (town),2145
" Kirkville Rd, Manlius (town), New York","Kirkville Road, Town of Manlius, Onondaga County, New York, 13082, United States",43.0791507,-76.0285413, Kirkville Rd,Manlius (town),23500
" Kirkville Rd, Manlius (town), New York","Kirkville Road, Town of Manlius, Onondaga County, New York, 13082, United States",43.0791507,-76.0285413, Kirkville Rd,Manlius (town),375000
" Minoa Rd, Manlius (town), New York","Minoa Road, Town of Manlius, Onondaga County, New York, 13116, United States",43.059099,-75.99951, Minoa Rd,Manlius (town),2600
" Minoa Rd, Manlius (town), New York","Minoa Road, Town of Manlius, Onondaga County, New York, 13116, United States",43.059099,-75.99951, Minoa Rd,Manlius (town),1666
" Rockwell Rd, Onondaga, New York","Rockwell Road, Nedrow, Town of Onondaga, Onondaga County, New York, 13120, United States",42.976364,-76.136986, Rockwell Rd,Onondaga,6378
" Rockwell Rd, Onondaga, New York","Rockwell Road, Nedrow, Town of Onondaga, Onondaga County, New York, 13120, United States",42.976364,-76.136986, Rockwell Rd,Onondaga,5000
" Salina St, Onondaga, New York","Salina Street, Village of Liverpool, Town of Salina, Onondaga County, New York, 13088, United States",43.1020293,-76.2009062, Salina St,Onondaga,3620
" Salina St, Onondaga, New York","Salina Street, Village of Liverpool, Town of Salina, Onondaga County, New York, 13088, United States",43.1020293,-76.2009062, Salina St,Onondaga,1600
" Beef St, Onondaga, New York","Beef Street, Howlett Hill, Town of Onondaga, Marcellus, Onondaga County, New York, 13215, United States",42.999777,-76.276169, Beef St,Onondaga,1341
" Beef St, Onondaga, New York","Beef Street, Howlett Hill, Town of Onondaga, Marcellus, Onondaga County, New York, 13215, United States",42.999777,-76.276169, Beef St,Onondaga,45
"3847 Rockefeller Rd, Niles, New York","3847, Rockefeller Road, Austin, Village of Moravia, Town of Moravia, Cayuga County, New York, 13118, United States",42.8042085,-76.47879891520245,3847 Rockefeller Rd,Niles,1400000
"9649 Kenzie Grace Path, Clay, New York","Kenzie Grace Path, Town of Clay, Onondaga County, New York, 13029, United States",43.2375233,-76.1654552,9649 Kenzie Grace Path,Clay,73000
"68 Hardwicke Dr, Solvay, New York","68, Hardwicke Drive, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.0481289,-76.2038886,68 Hardwicke Dr,Solvay,15000
"68 Hardwicke Dr, Solvay, New York","68, Hardwicke Drive, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.0481289,-76.2038886,68 Hardwicke Dr,Solvay,30000
"317 Tuttle Ave, Canastota, New York","317, Tuttle Avenue, Village of Canastota, Town of Lenox, Madison County, New York, 13032, United States",43.071754,-75.743676,317 Tuttle Ave,Canastota,25900
"317 Tuttle Ave, Canastota, New York","317, Tuttle Avenue, Village of Canastota, Town of Lenox, Madison County, New York, 13032, United States",43.071754,-75.743676,317 Tuttle Ave,Canastota,25000
"143 A Liberty St, Oswego (city), New York","143 A, Liberty Street, City of Oswego, Oswego County, New York, 13126, United States",43.4518675,-76.521526,143 A Liberty St,Oswego (city),950
"161 Liberty St, Oswego (city), New York","161, Liberty Street, City of Oswego, Oswego County, New York, 13126, United States",43.4505126,-76.5218217,161 Liberty St,Oswego (city),930
" Rainbow Shores Rd, Sandy Creek (town), New York","Rainbow Shores Road, Rainbow Shores, Town of Richland, Oswego County, New York, 13142, United States",43.610048,-76.180327, Rainbow Shores Rd,Sandy Creek (town),1690
" Rainbow Shores Rd, Sandy Creek (town), New York","Rainbow Shores Road, Rainbow Shores, Town of Richland, Oswego County, New York, 13142, United States",43.610048,-76.180327, Rainbow Shores Rd,Sandy Creek (town),71000
" River Rd, Aurelius, New York","River Road, Town of Montezuma, Town of Aurelius, Cayuga County, New York, 13034, United States",42.953404,-76.734598, River Rd,Aurelius,60000
"5684 Stockbridge Falls Road, Stockbridge, New York","5684, Stockbridge Falls Road, Siloam, Town of Stockbridge, Town of Smithfield, Madison County, New York, 13409, United States",42.956076,-75.6219825,5684 Stockbridge Falls Road,Stockbridge,50000
"4580 Kingsley Rd, Otisco, New York","4580, Kingsley Road, Maple Grove, Town of Otisco, Onondaga County, New York, 13084, United States",42.8848698,-76.1996564,4580 Kingsley Rd,Otisco,175000
" Tuttle Ave, Canastota, New York","Tuttle Avenue, Village of Canastota, Town of Lenox, Madison County, New York, 13032, United States",43.073135,-75.744511, Tuttle Ave,Canastota,15000
"4365 State Route 31, Clay, New York","4365, State Route 31, Euclid, Town of Clay, Onondaga County, New York, 13041, United States",43.1866348,-76.2118468,4365 State Route 31,Clay,75000
"7780 Longbow Way, Lysander, New York","7780, Longbow Way, Town of Lysander, Onondaga County, New York, 13027, United States",43.143990885997134,-76.25877112390249,7780 Longbow Way,Lysander,130000
"147 Giddings Trail, Lysander, New York","Giddings Trail, Town of Lysander, Onondaga County, New York, 13027, United States",43.1722566,-76.3567221,147 Giddings Trail,Lysander,54000
"208 Oakridge Terr, Salina, New York","208, Oakridge Terrace, The Meadows, Salina, Town of Salina, Onondaga County, New York, 13088, United States",43.103127150000006,-76.17768212101782,208 Oakridge Terr,Salina,270900
"125 Nelson St, Syracuse, New York","125, Nelson Street, Westside, City of Syracuse, Onondaga County, New York, 13204, United States",43.0465166,-76.176339,125 Nelson St,Syracuse,90
"2510 Erieville Road, Nelson, New York","2510, Erieville Road, Erieville, Town of Nelson, Madison County, New York, 13061, United States",42.8490617,-75.7533035,2510 Erieville Road,Nelson,43500
" Cross Rd, DeWitt, New York","Cross Road, Town of De Witt, Onondaga County, New York, 13224, United States",43.027914,-76.103675, Cross Rd,DeWitt,4577
" Cross Rd, DeWitt, New York","Cross Road, Town of De Witt, Onondaga County, New York, 13224, United States",43.027914,-76.103675, Cross Rd,DeWitt,100
" Maconi Ave, DeWitt, New York","Maconi Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.073129,-76.076228, Maconi Ave,DeWitt,4249
" Maconi Ave, DeWitt, New York","Maconi Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.073129,-76.076228, Maconi Ave,DeWitt,3500
" Maconi Ave, DeWitt, New York","Maconi Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.073129,-76.076228, Maconi Ave,DeWitt,2400
" Maconi Ave, DeWitt, New York","Maconi Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.073129,-76.076228, Maconi Ave,DeWitt,1675
" Maconi Ave, DeWitt, New York","Maconi Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.073129,-76.076228, Maconi Ave,DeWitt,1355
" Maconi Ave, DeWitt, New York","Maconi Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.073129,-76.076228, Maconi Ave,DeWitt,1054
" Maconi Ave, DeWitt, New York","Maconi Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.073129,-76.076228, Maconi Ave,DeWitt,600
" Maconi Ave, DeWitt, New York","Maconi Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.073129,-76.076228, Maconi Ave,DeWitt,600
" Frederick St, DeWitt, New York","Frederick Street, Town of De Witt, Onondaga County, New York, 13057, United States",43.071153,-76.07593, Frederick St,DeWitt,3471
" Frederick St, DeWitt, New York","Frederick Street, Town of De Witt, Onondaga County, New York, 13057, United States",43.071153,-76.07593, Frederick St,DeWitt,800
" James St, DeWitt, New York","James Street, City of Syracuse, Onondaga County, New York, 13057, United States",43.0694046,-76.0944119, James St,DeWitt,2900
" James St, DeWitt, New York","James Street, City of Syracuse, Onondaga County, New York, 13057, United States",43.0694046,-76.0944119, James St,DeWitt,1932
" Tucker Ave, DeWitt, New York","Tucker Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.072566,-76.076606, Tucker Ave,DeWitt,1675
" Tucker Ave, DeWitt, New York","Tucker Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.072566,-76.076606, Tucker Ave,DeWitt,600
" Towpath W, Elbridge (town), New York","Towpath Road, Town of Elbridge, Onondaga County, New York, 13080, United States",43.072785,-76.434685, Towpath W,Elbridge (town),2800
" Towpath W, Elbridge (town), New York","Towpath Road, Town of Elbridge, Onondaga County, New York, 13080, United States",43.072785,-76.434685, Towpath W,Elbridge (town),2200
" Towpath W, Elbridge (town), New York","Towpath Road, Town of Elbridge, Onondaga County, New York, 13080, United States",43.072785,-76.434685, Towpath W,Elbridge (town),4127
" Towpath W, Elbridge (town), New York","Towpath Road, Town of Elbridge, Onondaga County, New York, 13080, United States",43.072785,-76.434685, Towpath W,Elbridge (town),3300
" Toggenburg Rd, Fabius (town), New York","Toggenburg Road, Town of Fabius, Onondaga County, New York, 13063, United States",42.822169,-75.959825, Toggenburg Rd,Fabius (town),5200
" Toggenburg Rd, Fabius (town), New York","Toggenburg Road, Town of Fabius, Onondaga County, New York, 13063, United States",42.822169,-75.959825, Toggenburg Rd,Fabius (town),1779
"123 Argyle Ave, Geddes, New York","123, Argyle Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13219, United States",43.0343868,-76.1948646,123 Argyle Ave,Geddes,11013
"123 Argyle Ave, Geddes, New York","123, Argyle Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13219, United States",43.0343868,-76.1948646,123 Argyle Ave,Geddes,200
"900 State Fair Blvd, Geddes, New York","900, State Fair Boulevard, Lakeside, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.095661,-76.2413554,900 State Fair Blvd,Geddes,6200
"900 State Fair Blvd, Geddes, New York","900, State Fair Boulevard, Lakeside, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.095661,-76.2413554,900 State Fair Blvd,Geddes,990
"3547 Hayes Rd, Lysander, New York","3547, Hayes Road, Cold Springs, Town of Lysander, Onondaga County, New York, 13027, United States",43.1260278,-76.2654874,3547 Hayes Rd,Lysander,8000
"3547 Hayes Rd, Lysander, New York","3547, Hayes Road, Cold Springs, Town of Lysander, Onondaga County, New York, 13027, United States",43.1260278,-76.2654874,3547 Hayes Rd,Lysander,1246
" Richmond Rd W, Manlius (town), New York","Richmond Road West, Oot Park, Town of Manlius, Onondaga County, New York, 13057, United States",43.067218,-76.03505, Richmond Rd W,Manlius (town),5500
" Dutton Ave, Onondaga, New York","Dutton Avenue, Nedrow, Town of Onondaga, Onondaga County, New York, 13120, United States",42.975291,-76.144899, Dutton Ave,Onondaga,2050
" Dutton Ave, Onondaga, New York","Dutton Avenue, Nedrow, Town of Onondaga, Onondaga County, New York, 13120, United States",42.975291,-76.144899, Dutton Ave,Onondaga,1900
" Michael Ave, Pompey, New York","Michael Avenue, Town of Pompey, Onondaga County, New York, 13078, United States",42.914079,-76.018743, Michael Ave,Pompey,1400
" Michael Ave, Pompey, New York","Michael Avenue, Town of Pompey, Onondaga County, New York, 13078, United States",42.914079,-76.018743, Michael Ave,Pompey,1738
"304 Molloy Rd E, Salina, New York","304, East Molloy Road, Hinsdale, Mattydale, City of Syracuse, Onondaga County, New York, 13211, United States",43.09790205,-76.13901204999999,304 Molloy Rd E,Salina,175000
"189-191 Beechwood Ave, Salina, New York","Beechwood Avenue, Galeville, Town of Salina, Onondaga County, New York, 13088, United States",43.089315,-76.181609,189-191 Beechwood Ave,Salina,25000
"189-191 Beechwood Ave, Salina, New York","Beechwood Avenue, Galeville, Town of Salina, Onondaga County, New York, 13088, United States",43.089315,-76.181609,189-191 Beechwood Ave,Salina,25716
" Cold Springs Rd, Salina, New York","Cold Springs Road, Town of Salina, Onondaga County, New York, 13088, United States",43.1143,-76.222874, Cold Springs Rd,Salina,7000
" Cold Springs Rd, Salina, New York","Cold Springs Road, Town of Salina, Onondaga County, New York, 13088, United States",43.1143,-76.222874, Cold Springs Rd,Salina,6878
" Schaffer Ave, Salina, New York","Schaffer Avenue, Lyncourt, Town of Salina, Onondaga County, New York, 13298, United States",43.076968,-76.120717, Schaffer Ave,Salina,1700
" Schaffer Ave, Salina, New York","Schaffer Avenue, Lyncourt, Town of Salina, Onondaga County, New York, 13298, United States",43.076968,-76.120717, Schaffer Ave,Salina,3845
" Snyder Ave, Salina, New York","Snyder Avenue, Lyncourt, Town of Salina, Onondaga County, New York, 13206, United States",43.077013,-76.11995, Snyder Ave,Salina,1100
" Snyder Ave, Salina, New York","Snyder Avenue, Lyncourt, Town of Salina, Onondaga County, New York, 13206, United States",43.077013,-76.11995, Snyder Ave,Salina,800
" Snyder Ave, Salina, New York","Snyder Avenue, Lyncourt, Town of Salina, Onondaga County, New York, 13206, United States",43.077013,-76.11995, Snyder Ave,Salina,1961
" Snyder Ave, Salina, New York","Snyder Avenue, Lyncourt, Town of Salina, Onondaga County, New York, 13206, United States",43.077013,-76.11995, Snyder Ave,Salina,1961
"261 Leighton Ave, Salina, New York","261, Leighton Avenue, Lyncourt, City of Syracuse, Onondaga County, New York, 13206, United States",43.0768579,-76.1213494,261 Leighton Ave,Salina,200
"261 Leighton Ave, Salina, New York","261, Leighton Avenue, Lyncourt, City of Syracuse, Onondaga County, New York, 13206, United States",43.0768579,-76.1213494,261 Leighton Ave,Salina,5050
"516 Woods Rd, Solvay, New York","516, Woods Road, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.058268,-76.20574,516 Woods Rd,Solvay,7853
"516 Woods Rd, Solvay, New York","516, Woods Road, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.058268,-76.20574,516 Woods Rd,Solvay,4200
"212 Lamont Ave, Solvay, New York","212, Lamont Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.0591536,-76.2043129,212 Lamont Ave,Solvay,4795
"212 Lamont Ave, Solvay, New York","212, Lamont Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.0591536,-76.2043129,212 Lamont Ave,Solvay,3500
"1983 Milton Ave, Solvay, New York","1983, Milton Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.0623179,-76.212807,1983 Milton Ave,Solvay,4169
"1983 Milton Ave, Solvay, New York","1983, Milton Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.0623179,-76.212807,1983 Milton Ave,Solvay,3100
"118 Nicholsville Rd, Constantia, New York","118, Nicholsville Road, Nicholsville, Town of Constantia, Oswego County, New York, 13028, United States",43.2678718,-75.9489207,118 Nicholsville Rd,Constantia,59995
"3430 Tall Tree Ln, Lysander, New York","Tall Tree Lane, Town of Lysander, Onondaga County, New York, 13027, United States",43.1604722,-76.2738393,3430 Tall Tree Ln,Lysander,90000
"131 Caroline Ave, Solvay, New York","131, Caroline Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.0587656,-76.2012602,131 Caroline Ave,Solvay,55000
"131 Caroline Ave, Solvay, New York","131, Caroline Avenue, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.0587656,-76.2012602,131 Caroline Ave,Solvay,40000
"420 Old State Rd, Redfield, New York","420, Old State Road, Town of Redfield, Oswego County, New York, 13437, United States",43.619746500000005,-75.86512248404256,420 Old State Rd,Redfield,54999
" Rolling Meadows Way, Camillus (town), New York","Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13022, United States",43.0431742,-76.3276483, Rolling Meadows Way,Camillus (town),52900
" Rolling Meadows Way, Camillus (town), New York","Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13022, United States",43.0431742,-76.3276483, Rolling Meadows Way,Camillus (town),52900
